"","Timestamp","How old are you?","Please indicate your sex","Which province or territory do you live in?","What is your highest education level?","Have you been following the election?","How much do you value the alignment between you and the candidate's policies?","How's your satisfaction with the current Canadian government?","How would you rate the current government's response on combating COVID-19?","In your opinion, what is the most important issue facing in Canada today?","If the Federal Election were being held today, who would you vote for?"
"15",2020-10-07 16:00:12,"65+","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",9,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"16",2020-10-07 16:00:16,"55-64","Female","Ontario","College, CEGEP or other non-university certificate or diploma","No",8,"Somewhat Dissatisfied",6,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"17",2020-10-07 16:00:12,"18-24","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",7,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"18",2020-10-07 16:00:19,"45-54","Male","Alberta","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"19",2020-10-07 16:00:01,"65+","Female","Alberta","College, CEGEP or other non-university certificate or diploma","No",8,"Very Dissatisfied",5,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"20",2020-10-07 16:00:16,"18-24","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",9,"No Opinion",4,"Health Care","Erin O’Toole's Conservative Party of Canada"
"21",2020-10-07 16:00:18,"55-64","Male","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",8,"Very Dissatisfied",8,"Foreign Affairs","Erin O’Toole's Conservative Party of Canada"
"22",2020-10-07 16:00:19,"55-64","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",7,"Environment","Justin Trudeau's Liberal Party of Canada"
"23",2020-10-07 16:00:10,"55-64","Male","Saskatchewan","No certificate, diploma or degree","Yes",8,"Somewhat Satisfied",5,"Health Care","Erin O’Toole's Conservative Party of Canada"
"24",2020-10-07 16:00:14,"35-44","Male","Newfoundland and Labrador","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Satisfied",5,"Foreign Affairs","Erin O’Toole's Conservative Party of Canada"
"25",2020-10-07 16:00:02,"65+","Female","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",6,"Somewhat Dissatisfied",9,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"26",2020-10-07 16:00:12,"18-24","Male","Alberta","Apprenticeship or trades certificate or diploma","Yes",10,"No Opinion",4,"Health Care","Erin O’Toole's Conservative Party of Canada"
"27",2020-10-07 16:00:18,"55-64","Male","Quebec","College, CEGEP or other non-university certificate or diploma","No",8,"No Opinion",8,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"28",2020-10-07 16:00:17,"25-34","Male","Ontario","Apprenticeship or trades certificate or diploma","No",9,"Somewhat Dissatisfied",4,"Health Care","Justin Trudeau's Liberal Party of Canada"
"29",2020-10-07 16:00:18,"25-34","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",7,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"30",2020-10-07 16:00:11,"35-44","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",8,"Somewhat Satisfied",5,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"31",2020-10-07 16:00:18,"55-64","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",7,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"32",2020-10-07 16:00:08,"35-44","Female","Saskatchewan","Apprenticeship or trades certificate or diploma","No",9,"Very Satisfied",10,"The Economy/Jobs","Annamie Paul's Green Party of Canada"
"33",2020-10-07 16:00:13,"35-44","Female","Alberta","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Dissatisfied",2,"Health Care","Justin Trudeau's Liberal Party of Canada"
"34",2020-10-07 16:00:11,"18-24","Male","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"35",2020-10-07 16:00:03,"55-64","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",10,"Environment","Yves-Francois Blanchet's Bloc Québécois"
"36",2020-10-07 16:00:13,"25-34","Female","Alberta","University certificate, diploma or degree at bachelor level or above","Yes",7,"Somewhat Dissatisfied",9,"Environment","Justin Trudeau's Liberal Party of Canada"
"37",2020-10-07 16:00:01,"65+","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",8,"Very Dissatisfied",7,"Foreign Affairs","Jagmeet Singh's New Democratic Party of Canada"
"38",2020-10-07 16:00:11,"25-34","Female","Alberta","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",5,"Energy/Piplines","Justin Trudeau's Liberal Party of Canada"
"39",2020-10-07 16:00:18,"18-24","Male","Manitoba","University certificate or diploma below bachelor level","Yes",10,"Somewhat Satisfied",4,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"40",2020-10-07 16:00:03,"25-34","Male","Saskatchewan","Apprenticeship or trades certificate or diploma","No",10,"Somewhat Dissatisfied",7,"Health Care","Erin O’Toole's Conservative Party of Canada"
"41",2020-10-07 16:00:13,"55-64","Male","Alberta","No certificate, diploma or degree","No",8,"Very Dissatisfied",7,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"42",2020-10-07 16:00:13,"65+","Male","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"43",2020-10-07 16:00:07,"45-54","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",8,"Very Dissatisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"44",2020-10-07 16:00:02,"35-44","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",8,"Environment","Justin Trudeau's Liberal Party of Canada"
"45",2020-10-07 16:00:04,"45-54","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",8,"Somewhat Satisfied",6,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"46",2020-10-07 16:00:06,"55-64","Female","Quebec","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Satisfied",4,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"47",2020-10-07 16:00:16,"45-54","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",4,"No Opinion",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"48",2020-10-07 16:00:14,"65+","Female","Alberta","Apprenticeship or trades certificate or diploma","Yes",10,"No Opinion",8,"Health Care","Justin Trudeau's Liberal Party of Canada"
"49",2020-10-07 16:00:03,"55-64","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",8,"Somewhat Satisfied",6,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"50",2020-10-07 16:00:15,"65+","Female","Alberta","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",5,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"51",2020-10-07 16:00:16,"45-54","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Dissatisfied",4,"Environment","Annamie Paul's Green Party of Canada"
"52",2020-10-07 16:00:13,"65+","Female","Quebec","Apprenticeship or trades certificate or diploma","Yes",9,"Very Dissatisfied",8,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"53",2020-10-07 16:00:17,"35-44","Female","Alberta","No certificate, diploma or degree","No",9,"Somewhat Satisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"54",2020-10-07 16:00:03,"18-24","Female","Quebec","Apprenticeship or trades certificate or diploma","Yes",8,"Very Dissatisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"55",2020-10-07 16:00:08,"25-34","Male","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",6,"Somewhat Satisfied",7,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"56",2020-10-07 16:00:14,"55-64","Female","Alberta","No certificate, diploma or degree","Yes",10,"Somewhat Satisfied",6,"Foreign Affairs","Erin O’Toole's Conservative Party of Canada"
"57",2020-10-07 16:00:13,"35-44","Male","Alberta","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",9,"The Economy/Jobs","Others"
"58",2020-10-07 16:00:09,"65+","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Dissatisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"59",2020-10-07 16:00:17,"65+","Female","Quebec","No certificate, diploma or degree","Yes",8,"Somewhat Dissatisfied",8,"Accountability/Leadership","Annamie Paul's Green Party of Canada"
"60",2020-10-07 16:00:08,"35-44","Male","British Columbia","No certificate, diploma or degree","No",9,"Somewhat Dissatisfied",6,"Health Care","Justin Trudeau's Liberal Party of Canada"
"61",2020-10-07 16:00:13,"55-64","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",8,"Energy/Piplines","Justin Trudeau's Liberal Party of Canada"
"62",2020-10-07 16:00:19,"65+","Female","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",4,"Environment","Justin Trudeau's Liberal Party of Canada"
"63",2020-10-07 16:00:10,"25-34","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"64",2020-10-07 16:00:13,"35-44","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"No Opinion",5,"Crime/Public Safety","Yves-Francois Blanchet's Bloc Québécois"
"65",2020-10-07 16:00:01,"55-64","Male","Manitoba","College, CEGEP or other non-university certificate or diploma","No",8,"Somewhat Dissatisfied",6,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"66",2020-10-07 16:00:13,"25-34","Male","Manitoba","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",8,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"67",2020-10-07 16:00:05,"35-44","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",5,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"68",2020-10-07 16:00:11,"35-44","Female","Nova Scotia","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",5,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"69",2020-10-07 16:00:14,"65+","Female","Alberta","Secondary (high) school diploma or equivalency certificate","Yes",10,"Very Dissatisfied",9,"Health Care","Erin O’Toole's Conservative Party of Canada"
"70",2020-10-07 16:00:10,"55-64","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Dissatisfied",6,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"71",2020-10-07 16:00:04,"25-34","Male","British Columbia","Apprenticeship or trades certificate or diploma","Yes",9,"Very Dissatisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"72",2020-10-07 16:00:18,"45-54","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Dissatisfied",6,"Health Care","Annamie Paul's Green Party of Canada"
"73",2020-10-07 16:00:18,"45-54","Female","Quebec","College, CEGEP or other non-university certificate or diploma","No",8,"Somewhat Satisfied",10,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"74",2020-10-07 16:00:12,"35-44","Male","British Columbia","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",8,"Energy/Piplines","Justin Trudeau's Liberal Party of Canada"
"75",2020-10-07 16:00:19,"55-64","Female","Ontario","Apprenticeship or trades certificate or diploma","Yes",9,"Somewhat Dissatisfied",7,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"76",2020-10-07 16:00:10,"45-54","Female","Ontario","University certificate or diploma below bachelor level","Yes",8,"Somewhat Dissatisfied",9,"The Economy/Jobs","Yves-Francois Blanchet's Bloc Québécois"
"77",2020-10-07 16:00:07,"55-64","Female","Alberta","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Satisfied",5,"Health Care","Erin O’Toole's Conservative Party of Canada"
"78",2020-10-07 16:00:13,"65+","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Very Satisfied",8,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"79",2020-10-07 16:00:13,"35-44","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",8,"Somewhat Satisfied",7,"Health Care","Erin O’Toole's Conservative Party of Canada"
"80",2020-10-07 16:00:07,"45-54","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"81",2020-10-07 16:00:12,"25-34","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",7,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"82",2020-10-07 16:00:10,"18-24","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",9,"Very Satisfied",3,"The Economy/Jobs","Yves-Francois Blanchet's Bloc Québécois"
"83",2020-10-07 16:00:09,"65+","Male","British Columbia","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",8,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"84",2020-10-07 16:00:16,"55-64","Female","Ontario","Apprenticeship or trades certificate or diploma","No",10,"Somewhat Satisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"85",2020-10-07 16:00:11,"35-44","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Satisfied",9,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"86",2020-10-07 16:00:09,"65+","Male","Ontario","No certificate, diploma or degree","No",9,"Somewhat Dissatisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"87",2020-10-07 16:00:07,"55-64","Male","British Columbia","Apprenticeship or trades certificate or diploma","Yes",9,"Somewhat Satisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"88",2020-10-07 16:00:14,"55-64","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",6,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"89",2020-10-07 16:00:02,"45-54","Male","Nova Scotia","College, CEGEP or other non-university certificate or diploma","No",8,"Somewhat Satisfied",9,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"90",2020-10-07 16:00:12,"65+","Female","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Dissatisfied",8,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"91",2020-10-07 16:00:17,"65+","Male","Alberta","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",9,"Environment","Erin O’Toole's Conservative Party of Canada"
"92",2020-10-07 16:00:08,"25-34","Male","Ontario","College, CEGEP or other non-university certificate or diploma","No",9,"Somewhat Satisfied",6,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"93",2020-10-07 16:00:14,"65+","Male","Ontario","Apprenticeship or trades certificate or diploma","Yes",10,"Somewhat Dissatisfied",7,"The Economy/Jobs","Annamie Paul's Green Party of Canada"
"94",2020-10-07 16:00:19,"55-64","Female","Nova Scotia","College, CEGEP or other non-university certificate or diploma","No",9,"No Opinion",7,"Health Care","Erin O’Toole's Conservative Party of Canada"
"95",2020-10-07 16:00:05,"45-54","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Dissatisfied",7,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"96",2020-10-07 16:00:13,"65+","Female","Alberta","University certificate, diploma or degree at bachelor level or above","No",7,"Somewhat Satisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"97",2020-10-07 16:00:10,"65+","Male","Nova Scotia","Secondary (high) school diploma or equivalency certificate","No",5,"Somewhat Dissatisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"98",2020-10-07 16:00:19,"25-34","Female","Ontario","University certificate or diploma below bachelor level","Yes",10,"Somewhat Dissatisfied",6,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"99",2020-10-07 16:00:14,"45-54","Male","Quebec","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Dissatisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"100",2020-10-07 16:00:07,"18-24","Male","Ontario","No certificate, diploma or degree","Yes",7,"Somewhat Dissatisfied",9,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"101",2020-10-07 16:00:00,"35-44","Female","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",8,"Somewhat Satisfied",8,"Accountability/Leadership","Others"
"102",2020-10-07 16:00:13,"55-64","Male","Quebec","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Dissatisfied",9,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"103",2020-10-07 16:00:10,"45-54","Female","Manitoba","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",7,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"104",2020-10-07 16:00:07,"55-64","Male","Ontario","No certificate, diploma or degree","Yes",5,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"105",2020-10-07 16:00:02,"65+","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",9,"Very Dissatisfied",9,"The Economy/Jobs","Annamie Paul's Green Party of Canada"
"106",2020-10-07 16:00:04,"25-34","Female","Alberta","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"107",2020-10-07 16:00:06,"35-44","Female","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",9,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"108",2020-10-07 16:00:05,"25-34","Male","Ontario","College, CEGEP or other non-university certificate or diploma","No",8,"Somewhat Dissatisfied",4,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"109",2020-10-07 16:00:01,"25-34","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",7,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"110",2020-10-07 16:00:18,"65+","Female","Ontario","Apprenticeship or trades certificate or diploma","Yes",4,"Very Dissatisfied",8,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"111",2020-10-07 16:00:01,"55-64","Male","Alberta","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Satisfied",9,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"112",2020-10-07 16:00:06,"45-54","Male","Nova Scotia","College, CEGEP or other non-university certificate or diploma","Yes",6,"Somewhat Dissatisfied",6,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"113",2020-10-07 16:00:00,"35-44","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"No Opinion",6,"Energy/Piplines","Yves-Francois Blanchet's Bloc Québécois"
"114",2020-10-07 16:00:01,"18-24","Female","New Brunswick","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"115",2020-10-07 16:00:14,"45-54","Female","Ontario","Apprenticeship or trades certificate or diploma","No",10,"Somewhat Satisfied",10,"Foreign Affairs","Jagmeet Singh's New Democratic Party of Canada"
"116",2020-10-07 16:00:04,"18-24","Female","British Columbia","Secondary (high) school diploma or equivalency certificate","Yes",8,"Somewhat Satisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"117",2020-10-07 16:00:19,"65+","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",8,"Very Dissatisfied",5,"Health Care","Annamie Paul's Green Party of Canada"
"118",2020-10-07 16:00:19,"18-24","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",8,"Somewhat Satisfied",8,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"119",2020-10-07 16:00:17,"65+","Female","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",10,"No Opinion",8,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"120",2020-10-07 16:00:08,"25-34","Male","Ontario","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Dissatisfied",5,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"121",2020-10-07 16:00:03,"35-44","Male","Ontario","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Dissatisfied",5,"Health Care","Erin O’Toole's Conservative Party of Canada"
"122",2020-10-07 16:00:02,"55-64","Female","Ontario","No certificate, diploma or degree","Yes",10,"Somewhat Dissatisfied",9,"The Economy/Jobs","Yves-Francois Blanchet's Bloc Québécois"
"123",2020-10-07 16:00:04,"45-54","Female","Quebec","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Dissatisfied",8,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"124",2020-10-07 16:00:00,"25-34","Female","British Columbia","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Dissatisfied",4,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"125",2020-10-07 16:00:17,"35-44","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Satisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"126",2020-10-07 16:00:04,"55-64","Female","Nova Scotia","No certificate, diploma or degree","Yes",10,"Somewhat Dissatisfied",8,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"127",2020-10-07 16:00:00,"25-34","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",9,"Housing/Homelessness/Proverty","Others"
"128",2020-10-07 16:00:13,"45-54","Female","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",5,"Health Care","Justin Trudeau's Liberal Party of Canada"
"129",2020-10-07 16:00:05,"65+","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",9,"Very Dissatisfied",8,"Accountability/Leadership","Jagmeet Singh's New Democratic Party of Canada"
"130",2020-10-07 16:00:02,"45-54","Male","Quebec","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Satisfied",6,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"131",2020-10-07 16:00:08,"25-34","Male","Alberta","No certificate, diploma or degree","Yes",7,"Somewhat Satisfied",3,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"132",2020-10-07 16:00:12,"35-44","Male","Ontario","University certificate or diploma below bachelor level","Yes",9,"Somewhat Dissatisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"133",2020-10-07 16:00:00,"18-24","Male","British Columbia","Secondary (high) school diploma or equivalency certificate","Yes",6,"Very Satisfied",3,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"134",2020-10-07 16:00:18,"55-64","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",8,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"135",2020-10-07 16:00:18,"25-34","Male","Quebec","College, CEGEP or other non-university certificate or diploma","No",8,"Very Satisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"136",2020-10-07 16:00:06,"45-54","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Dissatisfied",7,"Environment","Erin O’Toole's Conservative Party of Canada"
"137",2020-10-07 16:00:13,"65+","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",7,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"138",2020-10-07 16:00:01,"25-34","Female","Manitoba","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",6,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"139",2020-10-07 16:00:17,"25-34","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
